,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14186746987951807,1.0,0.0012215684,-0.0013975319944684278,0.8172172,0.8184387,0.1415996983681384,0.13782626818494662,0.14149539863655525,0.1415996983681384
2,2,2,,train,0.13975903614457832,1.0,0.0012243084,-0.004232138099051014,0.7793146,0.7805389,0.1392560865763416,0.1215271616208656,0.14002802636713232,0.1392560865763416
4,4,3,,train,0.14283132530120482,1.0,0.0012242281,0.0005807852123661303,0.7783484,0.7795726,0.14334730665192888,0.12486980271801085,0.1414347104769942,0.14334730665192888
6,6,4,,train,0.14078313253012048,0.9999791383743286,0.0012315954,-0.002268535824321377,0.77875304,0.7799848,0.14085321988963415,0.12661140687623645,0.13848749976290306,0.14085321988963415
8,8,5,,train,0.1422289156626506,0.7093947529792786,0.025097897,-0.001921806096652508,0.7556333000000001,0.78073114,0.14122326445917802,0.12425312999024285,0.140331522540095,0.14122326445917802
10,10,6,,train,0.1447590361445783,0.00014153077790979296,0.08577623,0.0010643295121239831,0.6989595999999999,0.7847359,0.1437357778313638,0.13290999230224532,0.14312164245878214,0.1437357778313638
12,12,7,,train,0.14180722891566264,8.325341127601859e-07,0.08566926,-0.0021924915481343578,0.6991967,0.784866,0.1409874757161749,0.12368278457665645,0.14096871300604355,0.1409874757161749
14,14,8,,train,0.14680722891566264,8.325341127601859e-07,0.0858143,0.0027224961785616555,0.6957364,0.7815506999999999,0.14520119823621866,0.1259329438431626,0.14671894416199308,0.14520119823621866
16,16,9,,train,0.14560240963855425,8.325340786541346e-06,0.08573645,0.0031904976307178144,0.69531643,0.78105295,0.14551519844852576,0.13755555565197408,0.14530582413829649,0.14551519844852576
18,18,10,,train,0.1422289156626506,2.7257785404799506e-05,0.08579049,-0.001639304553549735,0.6959863000000001,0.78177685,0.14148765840196484,0.11949392155591368,0.1428471837542229,0.14148765840196484
20,20,11,,train,0.1463855421686747,8.843361865729095e-05,0.08588529,0.004252034561600713,0.6950392,0.78092444,0.14648003818682326,0.1194304113023866,0.14946543359110878,0.14648003818682326
22,22,12,,train,0.14650602409638555,0.00028278405079618096,0.08569363,0.0035032004874592853,0.6947776,0.78047127,0.14582325966630516,0.13283786106033366,0.14704606211578214,0.14582325966630516
24,24,13,,train,0.14963855421686748,0.0005789194838143885,0.08600821,0.006608944982695531,0.69296473,0.7789729000000001,0.1484787557349559,0.12684090370516735,0.14421852500649174,0.1484787557349559
26,26,14,,train,0.1508433734939759,0.0012400748673826456,0.08626477,0.01054758901951453,0.69226354,0.7785284,0.1520585648485505,0.13740614787028874,0.14747761327294273,0.1520585648485505
28,28,15,,train,0.15210843373493976,0.0019755722023546696,0.086781375,0.012161229848339608,0.69275546,0.77953684,0.15356284457976166,0.12880074264075972,0.15129442754232486,0.15356284457976166
30,30,16,,train,0.15289156626506026,0.0027354599442332983,0.087401874,0.010109205857759786,0.6894246999999999,0.77682656,0.15136387454991546,0.12369288434082015,0.14784352238501158,0.15136387454991546
32,32,17,,train,0.15716867469879514,0.002180005656555295,0.08830498,0.015994348784348567,0.6888132,0.7771182,0.15656796868191222,0.12680995845038726,0.1545424778608175,0.15656796868191222
34,34,18,,train,0.16253012048192772,0.001843569451011717,0.08795445,0.021018779392493938,0.6886687,0.77662325,0.1604271429780285,0.12650771879258926,0.14744159447972652,0.1604271429780285
36,36,19,,train,0.15819277108433735,0.0034706490114331245,0.08842597,0.01804760271539714,0.6872558000000001,0.77568173,0.15845526185847533,0.11676280211937215,0.1397710653080289,0.15845526185847533
38,38,20,,train,0.16234939759036146,0.0028505041263997555,0.088397376,0.022337406620394937,0.68637675,0.7747741,0.16178907744107435,0.10868079990631176,0.14838692202413115,0.16178907744107435
40,40,21,,train,0.1622289156626506,0.0025335859972983603,0.08871406,0.024879803454163563,0.68427235,0.7729864000000001,0.16463699811182272,0.11571575927907793,0.15130742253867374,0.16463699811182272
42,42,22,,train,0.17036144578313253,0.0022346754558384423,0.08926045,0.028689920765146343,0.6844028,0.7736632,0.1666959253610785,0.1195208491191866,0.1576113898692133,0.1666959253610785
44,44,23,,train,0.16951807228915666,0.0028171406593173747,0.089569174,0.029580474101194576,0.68304586,0.77261513,0.16788203118100214,0.1195184104845043,0.15871476194147402,0.16788203118100214
46,46,24,,train,0.1608433734939759,0.003534723306074738,0.08962983,0.02172944930730895,0.683735,0.7733648,0.16162313156615274,0.12535176721461902,0.17792100154835214,0.16162313156615274
48,48,25,,train,0.1653012048192771,0.004505643621087074,0.08950633,0.02711036692202316,0.6821665,0.7716727,0.16628508069338638,0.12444116864699985,0.1647619495928976,0.16628508069338638
50,50,26,,train,0.17024096385542167,0.004903933964669704,0.09031702,0.031060604712252436,0.6810345,0.7713515000000001,0.1692228046049578,0.12004489970165033,0.17800273485489285,0.1692228046049578
52,52,27,,train,0.16114457831325302,0.005479061044752598,0.090335794,0.024606244822275504,0.6800309,0.7703666,0.16470851281037555,0.12973126002051144,0.1456967394057524,0.16470851281037555
54,54,28,,train,0.16228915662650606,0.006555590312927961,0.09031697,0.023101666976804075,0.68085694,0.77117395,0.16280122414474224,0.10925572294751207,0.15934641636333233,0.16280122414474224
56,56,29,,train,0.16391566265060242,0.0067825629375875,0.09052639999999999,0.02099665767510884,0.68096167,0.7714880000000001,0.16009639734554404,0.09845864454631828,0.1308417571075206,0.16009639734554404
58,58,30,,train,0.15813253012048192,0.0078357495367527,0.09011737,0.02016437391493876,0.6794584,0.7695758,0.1605925846016309,0.10126058280838257,0.1369626764568816,0.1605925846016309
60,60,31,,train,0.15650602409638553,0.008319636806845665,0.09131913,0.01380289919626445,0.67707694,0.7683960999999999,0.15445845918729678,0.08277926289215462,0.18064248143687048,0.15445845918729678
62,62,32,,train,0.15572289156626504,0.008314765058457851,0.09113954,0.01265437081582377,0.6782170999999999,0.76935667,0.1534515381417027,0.08358219748319091,0.17293834964265886,0.1534515381417027
64,64,33,,train,0.14903614457831324,0.009415560401976109,0.09056855,0.010283647884124838,0.67847437,0.76904285,0.1518302341128967,0.0815553322977336,0.1706811417090029,0.1518302341128967
66,66,34,,train,0.16343373493975905,0.01088738813996315,0.09205014,0.020123213137842492,0.6767561,0.76880616,0.15968162120950513,0.09441319919495253,0.17884775424562305,0.15968162120950513
68,68,35,,train,0.15620481927710844,0.01182956900447607,0.09138104,0.01498179893680857,0.67580646,0.7671875,0.15569318285151734,0.08191412210328282,0.14852930824582752,0.15569318285151734
70,70,36,,train,0.1614457831325301,0.011240813881158829,0.09188817,0.022676620297901646,0.6740322,0.7659204000000001,0.16223542477912065,0.08939889423061118,0.14397725301928993,0.16223542477912065
72,72,37,,train,0.16475903614457832,0.01864077523350716,0.09116616,0.02254278148933456,0.67771775,0.7688839,0.16171239984193986,0.10070702699657022,0.16986995405200073,0.16171239984193986
74,74,38,,train,0.15590361445783132,0.010188983753323557,0.09064349999999999,0.01763384565270061,0.6778288,0.76847225,0.15857106657934875,0.09887335040458324,0.18093462270875474,0.15857106657934875
76,76,39,,train,0.16542168674698796,0.0120293153449893,0.09176933,0.024015849843672055,0.6757129,0.7674821999999999,0.1630775094242453,0.09064442264627416,0.2874126412089221,0.1630775094242453
78,78,40,,train,0.15740963855421686,0.014193256385624409,0.091256194,0.01573749121230523,0.67691356,0.7681697,0.15624120892797014,0.07086658967338509,0.15126900722256573,0.15624120892797014
80,80,41,,train,0.1613855421686747,0.01265464071184397,0.09133012,0.02180449054609733,0.67563117,0.7669613000000001,0.16164885906925078,0.09093105600895417,0.16066901014208174,0.16164885906925078
82,82,42,,train,0.16433734939759034,0.012470867484807968,0.09174235,0.0215867454956967,0.67485476,0.76659715,0.16087392941852613,0.0877164043203327,0.18276738689140784,0.16087392941852613
84,84,43,,train,0.16078313253012047,0.013417180627584456,0.09239906,0.020121822896133533,0.67369527,0.7660943,0.16000315521030398,0.09405346522013253,0.17094340811600575,0.16000315521030398
86,86,44,,train,0.15481927710843374,0.01118688378483057,0.09140566,0.01300194425877858,0.67650425,0.76790994,0.15421154506867282,0.08863035517150264,0.16287385204501367,0.15421154506867282
88,88,45,,train,0.16373493975903616,0.014926596544682981,0.09238277,0.02287698753170137,0.67265856,0.7650413,0.1621833635734416,0.08327498387952018,0.2204809879343084,0.1621833635734416
90,90,46,,train,0.1746987951807229,0.01419208478182554,0.092308715,0.034972110834034426,0.6731963000000001,0.765505,0.17222216600598128,0.10200479095588767,0.17447950963950626,0.17222216600598128
92,92,47,,train,0.16457831325301206,0.015108799561858175,0.09294438,0.024121571728544795,0.6722074,0.76515174,0.16331692670353254,0.09627599765429018,0.21022248972147645,0.16331692670353254
94,94,48,,train,0.16066265060240964,0.013737551867961884,0.09319437,0.022093245786345164,0.6702085,0.7634029,0.1619269081806957,0.09297973803088792,0.1470839272059208,0.1619269081806957
96,96,49,,train,0.16734939759036144,0.01367255300283432,0.09299227,0.028462651131787614,0.670936,0.7639282,0.16717242116036748,0.11352368968237712,0.16319732028978104,0.16717242116036748
98,98,50,,train,0.16765060240963855,0.013653064146637915,0.09313127,0.02713335359355915,0.67172015,0.7648514,0.16563757424415365,0.1250278691965839,0.16719621933665627,0.16563757424415365
100,100,51,,train,0.15879518072289156,0.012648997828364372,0.092445925,0.01723692620670439,0.6727079,0.7651538,0.15739641068790827,0.1069774724203966,0.16122901278779792,0.15739641068790827
102,102,52,,train,0.1653012048192771,0.014294393360614775,0.09388769999999999,0.022644172653510868,0.67008495,0.7639727,0.16190218963552575,0.09435662210074104,0.17606760425531182,0.16190218963552575
