,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14271084337349402,1.0,0.04480238,-0.001735058860001027,1.5782368999999998,1.6230394,0.1414227216320844,0.132701707789071,0.14119283163998314,0.1414227216320844
2,2,2,,train,0.13849397590361445,1.0,0.044671475999999995,-0.0053560368846273755,1.5174625,1.5621338,0.1382672341117601,0.12382650132156567,0.13982952407975002,0.1382672341117601
4,4,3,,train,0.1446987951807229,0.9999549984931946,0.044845800000000005,-0.00011011587202539409,1.5114201999999999,1.556266,0.1428378824893182,0.11253706578186616,0.18252829617271865,0.1428378824893182
6,6,4,,train,0.2085542168674699,0.9766378998756408,0.04960957,0.07717487660237085,1.4493073,1.4989169,0.20917598147617544,0.1868470209221384,0.21717256051780345,0.20917598147617544
8,8,5,,train,0.23343373493975905,0.7169080376625061,0.08223966,0.1043510733824604,1.3656026,1.4478421000000001,0.2303349502927298,0.19635430510379034,0.21839685898958788,0.2303349502927298
10,10,6,,train,0.2786746987951807,0.6368610858917236,0.09811193,0.15824976353031014,1.3014257,1.3995376,0.2779553829600487,0.2340176460260836,0.2713383273719456,0.2779553829600487
12,12,7,,train,0.3624096385542169,0.6771504282951355,0.11893902,0.25625724857454324,1.1430153,1.2619543,0.3632465770584741,0.3220316611082998,0.33767574470973793,0.3632465770584741
14,14,8,,train,0.4002409638554217,0.6981361508369446,0.12878774,0.30000586569990245,1.0875186000000001,1.2163064,0.39890055459678536,0.35511256992783063,0.37593485040025215,0.39890055459678536
16,16,9,,train,0.4617469879518072,0.698473334312439,0.15073049,0.37218666591458255,0.9548728000000001,1.1056032,0.4620970610664346,0.4335258815759061,0.4332540962863948,0.4620970610664346
18,18,10,,train,0.4903614457831325,0.663986086845398,0.17583089999999998,0.4050544243703291,0.8733582000000001,1.0491891000000002,0.4877683509948264,0.4657042078288461,0.4669835394290529,0.4877683509948264
20,20,11,,train,0.5286144578313253,0.6675534248352051,0.1884626,0.4495544202464508,0.80773336,0.9961959999999999,0.5270174060162528,0.5102591763118465,0.508567329926684,0.5270174060162528
22,22,12,,train,0.5496987951807228,0.6558680534362793,0.19777404,0.4745060474365807,0.76703495,0.96480894,0.5485021023260006,0.5357233589067136,0.5338811750083893,0.5485021023260006
24,24,13,,train,0.5693373493975904,0.6467127799987793,0.20615989,0.4974386472938507,0.7343881999999999,0.9405479999999999,0.5671699955882038,0.5593499067978823,0.5565855177019353,0.5671699955882038
26,26,14,,train,0.587289156626506,0.6314355134963989,0.21576823,0.5186662516455055,0.6994415,0.9152098,0.5881264762064157,0.5734825389431951,0.5731261827627581,0.5881264762064157
28,28,15,,train,0.5818072289156626,0.5891401171684265,0.23043475,0.5120596680333054,0.7054512,0.93588585,0.5801685249211729,0.5743746732111673,0.5727137390290302,0.5801685249211729
30,30,16,,train,0.606144578313253,0.5392365455627441,0.25149,0.5404705975732106,0.66144145,0.9129315,0.603826087891865,0.5925696354406206,0.5903636062663846,0.603826087891865
32,32,17,,train,0.6277108433734939,0.5458400845527649,0.2627624,0.565680581488114,0.59981096,0.8625734,0.6273017235917362,0.6211998217521595,0.6191301185590612,0.6273017235917362
34,34,18,,train,0.6519277108433735,0.5351197719573975,0.27509293,0.5938996989906231,0.56658304,0.841676,0.6529796058652766,0.6506446326289452,0.650303863958845,0.6529796058652766
36,36,19,,train,0.6597590361445783,0.5330342054367065,0.27937716,0.6030359858340147,0.5528213000000001,0.83219844,0.6597543028153645,0.6569565288275142,0.6587042233471251,0.6597543028153645
38,38,20,,train,0.6700602409638554,0.5337039232254028,0.28655317,0.6150583924412669,0.5203677999999999,0.80692095,0.6714397188077467,0.6696134057969809,0.6698131771829335,0.6714397188077467
40,40,21,,train,0.6771686746987952,0.5235472917556763,0.29292548,0.6233034764178742,0.5131215,0.8060469,0.6755892421208306,0.6726602769851817,0.6717471559179382,0.6755892421208306
42,42,22,,train,0.6887951807228916,0.5186470746994019,0.29966494,0.6368843777192593,0.48208064,0.7817455,0.6884828813393058,0.6866439509819277,0.6868527824485909,0.6884828813393058
44,44,23,,train,0.692289156626506,0.5197936296463013,0.3020772,0.6410317224680846,0.47287628,0.7749535,0.6922992916594319,0.6889318474073499,0.6881037016099057,0.6922992916594319
46,46,24,,train,0.7090963855421687,0.5246669650077821,0.3075921,0.6605841049917311,0.44587964,0.75347173,0.7099005125247976,0.7079509946581931,0.7070308044127859,0.7099005125247976
48,48,25,,train,0.7105421686746988,0.5298770666122437,0.30832362,0.6623087305566091,0.4353189,0.7436425,0.7098701008626097,0.7079814928333078,0.7079238483862922,0.7098701008626097
50,50,26,,train,0.7216265060240964,0.524592399597168,0.31461683,0.6752618382036897,0.41841709999999993,0.7330339,0.7230089936838668,0.7207374321719214,0.7200963763764617,0.7230089936838668
52,52,27,,train,0.7092771084337349,0.5269914865493774,0.30719852,0.6608545209932699,0.44467923,0.7518776999999999,0.7090160465735392,0.7077995442706636,0.7091517818584999,0.7090160465735392
54,54,28,,train,0.7322289156626506,0.5250881314277649,0.32058507,0.6876048552438411,0.3865784,0.7071635000000001,0.7330883552631777,0.7317254628226568,0.7313082272938872,0.7330883552631777
56,56,29,,train,0.7452409638554217,0.5111526250839233,0.3302784,0.7027328511293365,0.37407967,0.7043581,0.7443519271297198,0.7434610307379153,0.7446965367481061,0.7443519271297198
58,58,30,,train,0.7552409638554217,0.5219063758850098,0.33336738,0.7144589946113131,0.350573,0.6839404,0.7558587284295849,0.7543964539086015,0.7543487440214979,0.7558587284295849
60,60,31,,train,0.7462048192771085,0.5101626515388489,0.33358714,0.7038338641451186,0.3537705,0.68735754,0.7445007956693066,0.7421685622225377,0.7428743963130126,0.7445007956693066
62,62,32,,train,0.7666265060240964,0.5160971283912659,0.33893508,0.7276928531344582,0.32696864,0.6659037,0.7657966057956443,0.7647314914418996,0.7649623447607471,0.7657966057956443
64,64,33,,train,0.7656626506024097,0.5109257698059082,0.34187362,0.7265863281376296,0.32344985,0.66532344,0.7658367898562479,0.7651103580159335,0.7654132864692068,0.7658367898562479
66,66,34,,train,0.7706024096385542,0.5067921876907349,0.34716890000000006,0.7323123830067214,0.3089533,0.6561220999999999,0.7697580914413481,0.7688386036981328,0.7697669434799183,0.7697580914413481
68,68,35,,train,0.7703012048192771,0.5071601271629333,0.34774279999999996,0.7320344912867287,0.30410752,0.65185034,0.7719140808246531,0.7707524475610759,0.7716538269707159,0.7719140808246531
70,70,36,,train,0.7722289156626506,0.5355570912361145,0.33592162,0.7342509770006591,0.31541935,0.65134096,0.7725359076894314,0.7714117414024029,0.7721447977103418,0.7725359076894314
72,72,37,,train,0.7682530120481927,0.5103386044502258,0.3440886,0.7295773526611944,0.32150212,0.66559076,0.7672816609298295,0.7666574273591074,0.7673159394922751,0.7672816609298295
74,74,38,,train,0.781867469879518,0.5125356316566467,0.3523232,0.7454809559089071,0.28715056,0.63947374,0.7807919813094328,0.7800164819073258,0.7807638811255796,0.7807919813094328
76,76,39,,train,0.804156626506024,0.5173092484474182,0.35697773,0.7715164060095369,0.25004202,0.6070198,0.8046158253512514,0.8039476510876319,0.8037190641210735,0.8046158253512514
78,78,40,,train,0.7879518072289157,0.5207970142364502,0.3512006,0.7525646779954629,0.27050012,0.62170076,0.7887767659163828,0.7878615510415489,0.7885429811026002,0.7887767659163828
80,80,41,,train,0.797289156626506,0.5158944725990295,0.3593775,0.7634634366299432,0.24714167,0.6065191999999999,0.7972350106557711,0.7966160306115884,0.7971554612015861,0.7972350106557711
82,82,42,,train,0.7948795180722892,0.505138099193573,0.36277777,0.7606770984856059,0.2545717,0.61734945,0.7945784962686019,0.7943077379715708,0.7947463021230533,0.7945784962686019
84,84,43,,train,0.7987349397590362,0.5114877223968506,0.36011925,0.7651663497893386,0.2579656,0.61808485,0.7972352146751966,0.7969466046856033,0.7980367212531577,0.7972352146751966
86,86,44,,train,0.8057831325301205,0.5053939819335938,0.3672873,0.7733603635435553,0.22578911,0.59307635,0.8060620625262013,0.8054595007905517,0.8070199847417496,0.8060620625262013
88,88,45,,train,0.8130120481927711,0.5083394646644592,0.37102792,0.7818388811479254,0.21388756,0.5849154999999999,0.8131289260481527,0.8124855457930356,0.8130221083931078,0.8131289260481527
90,90,46,,train,0.8151807228915663,0.5026376247406006,0.37554997,0.7843397980706429,0.20621967,0.58176965,0.8130347623177236,0.8125388516946749,0.8134189211857724,0.8130347623177236
92,92,47,,train,0.7978915662650602,0.5044074058532715,0.36867997,0.7642118629210336,0.23937239,0.6080523,0.7978398901962903,0.7966079909521134,0.7980345676562752,0.7978398901962903
94,94,48,,train,0.7968674698795181,0.512980580329895,0.36095867,0.7629946760305036,0.24684325,0.6078019,0.7955750854992881,0.7950039240734444,0.7955375477644667,0.7955750854992881
96,96,49,,train,0.8136144578313254,0.5029568672180176,0.37352246,0.7825526379718064,0.20883478,0.5823571999999999,0.8131599556525977,0.8126008811627098,0.8133000392144966,0.8131599556525977
98,98,50,,train,0.8154216867469879,0.5061094760894775,0.37545455,0.7846250128738282,0.20031795,0.5757725,0.8164086715203537,0.8161939676008241,0.8175326737797779,0.8164086715203537
100,100,51,,train,0.8178915662650602,0.4993105530738831,0.37843195,0.7875275705690766,0.19372702,0.572159,0.8168155215566092,0.8158108611901941,0.8161125040729246,0.8168155215566092
102,102,52,,train,0.8255421686746988,0.4956804811954498,0.38466048,0.7964492931340785,0.18131153,0.565972,0.8251249874290754,0.8244994497835879,0.8245147904270574,0.8251249874290754
104,104,53,,train,0.8165662650602409,0.4953000247478485,0.38047606,0.7860040510673155,0.19816294,0.578639,0.8174632190583079,0.8162632461697567,0.8163722966824288,0.8174632190583079
106,106,54,,train,0.8271686746987952,0.4961109161376953,0.3833511,0.7983559609493232,0.18115079999999997,0.5645018,0.8275133973535957,0.8271432230477302,0.827653012220323,0.8275133973535957
108,108,55,,train,0.8330722891566265,0.4987067580223084,0.38666558,0.8052298536151521,0.16822839,0.554894,0.8330368320124694,0.8325532104894503,0.8332472264617985,0.8330368320124694
110,110,56,,train,0.8148192771084337,0.5015213489532471,0.3769405,0.7839656770433524,0.20036070000000003,0.57730114,0.8168076494103635,0.8159114708397289,0.8162981451919344,0.8168076494103635
112,112,57,,train,0.8342168674698796,0.4988131821155548,0.388988,0.8065480195741398,0.15890013,0.54788816,0.8324117147115037,0.8319211360126048,0.8331111644618833,0.8324117147115037
114,114,58,,train,0.8278313253012048,0.4960959851741791,0.38859317,0.7990821926778768,0.17200568,0.56059885,0.8273431017070049,0.8268769063753449,0.8278289266716599,0.8273431017070049
116,116,59,,train,0.8439759036144578,0.4966882765293121,0.39633240000000003,0.8179659333706372,0.13402544,0.53035784,0.8440397339831379,0.8437789471439785,0.8441447321621001,0.8440397339831379
118,118,60,,train,0.8348192771084337,0.4924493730068207,0.39319766,0.8072821194678707,0.14980368,0.54300135,0.8353803411855206,0.8347699433727698,0.835212987795504,0.8353803411855206
120,120,61,,train,0.8350602409638554,0.5000414848327637,0.38915876,0.8075626716700226,0.15617508,0.5453338000000001,0.8348028513444551,0.8344416719916551,0.8351168247919245,0.8348028513444551
122,122,62,,train,0.8351204819277108,0.5007815361022949,0.39088646,0.8076323862530933,0.15216935,0.5430557,0.8343244284699216,0.8337414500584928,0.83446376028693,0.8343244284699216
124,124,63,,train,0.8440963855421687,0.4899093508720398,0.3982704,0.8181115189925741,0.13727820000000002,0.5355486,0.8434537836767901,0.8428103311713128,0.8434027364632269,0.8434537836767901
126,126,64,,train,0.8442771084337349,0.4932086169719696,0.39935276,0.8183185881761927,0.13053168,0.5298845,0.8448733735224343,0.8443896015866773,0.8448161066647507,0.8448733735224343
128,128,65,,train,0.8453614457831325,0.4924278259277344,0.39987826,0.8195715616171492,0.124713644,0.5245919,0.8466019754716122,0.8460680089046553,0.8462437257102235,0.8466019754716122
130,130,66,,train,0.8446385542168675,0.4984694719314575,0.39552155,0.8187469500281616,0.14093974,0.53646135,0.844750611371346,0.8444159714886039,0.8453674854192076,0.844750611371346
132,132,67,,train,0.8512048192771084,0.4927471280097962,0.3998828,0.8263844428536954,0.1212683,0.52115107,0.8506407006795348,0.8503138239625735,0.8510956522159729,0.8506407006795348
