,epoch,iteration,mode,accuracy,earliness,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall,loss_classification,loss_earliness
0,1,,train,0.14512048192771085,1.0,0.0002975674166059654,2.035839,0.14312320402959602,0.11469239683078646,0.14266022810032547,0.14312320402959602,,
1,1,,test,0.04876487904774095,1.0,0.0,1.9983692,0.1428571428571425,0.013284982042596904,0.00696641129253442,0.1428571428571425,,
2,2,,train,0.14361445783132532,1.0,0.0005211710728789072,1.9542344,0.1432760887966975,0.13240418285727618,0.14502755842183987,0.1432760887966975,,
3,2,,test,0.11852041469345961,1.0,0.0,1.9428841,0.1428571428571427,0.030274794435426473,0.01693148781335137,0.1428571428571427,,
4,3,,train,0.1396987951807229,1.0,-0.003584844217240928,1.9518242,0.13972829595982078,0.1299335480235266,0.13792119866727573,0.13972829595982078,,
5,3,,test,0.04876487904774095,1.0,0.0,2.0208948,0.1428571428571425,0.013284982042596904,0.00696641129253442,0.1428571428571425,,
6,4,,train,0.19903614457831326,1.0,0.06577419723880017,1.9220037,0.19889777479711543,0.15964775445238294,0.15509195074352009,0.19889777479711543,,
7,4,,test,0.6088570331498784,1.0,0.3539669007623541,1.7262201,0.26106021178300715,0.17623168605638612,0.15697764243549597,0.26106021178300715,,
8,5,,train,0.2469879518072289,1.0,0.12208498208065445,1.815324,0.24830267322539148,0.2000682618477396,0.2370294739614318,0.24830267322539148,,
9,5,,test,0.14872648150518367,1.0,0.08973151612450547,1.7605836,0.271390678022971,0.12830086375545502,0.1380485487457314,0.271390678022971,,
10,6,,train,0.2866265060240964,1.0,0.16841007407749345,1.7495177,0.2881188879499235,0.2634825762159571,0.27346688480776193,0.2881188879499235,,
11,6,,test,0.31972353769358763,1.0,0.1807893510355763,1.6909978,0.3055107095441792,0.17562336803735684,0.25504104106327014,0.3055107095441792,,
12,7,,train,0.31903614457831325,1.0,0.20470084264166244,1.7137047,0.31633349361026175,0.2756697667131879,0.3117398196240376,0.31633349361026175,,
13,7,,test,0.4111096889799053,1.0,0.24682981772259865,1.7545178,0.3112080181306272,0.20231267023120253,0.21301857867402424,0.3112080181306272,,
14,8,,train,0.3323493975903615,1.0,0.22077544739874896,1.6779484,0.33220081709176286,0.31256345588583073,0.3242986697868052,0.33220081709176286,,
15,8,,test,0.1812364008703443,1.0,0.12065380669784553,1.4974995,0.32592259659827444,0.16742380708492152,0.2031707612369893,0.32592259659827444,,
16,9,,train,0.33704819277108433,1.0,0.22697586830769304,1.6686243,0.33845922214676377,0.3114315058770942,0.31678752886490275,0.33845922214676377,,
17,9,,test,0.15077435044157175,1.0,0.09903206775876768,1.5911465,0.33413530081918813,0.16153824078010612,0.17598356420581246,0.33413530081918813,,
18,10,,train,0.36801204819277106,1.0,0.26242375249752237,1.5996449,0.36754538307905477,0.34155043099129107,0.35858243655721056,0.36754538307905477,,
19,10,,test,0.6503263791117369,1.0,0.4639957519665561,1.429607,0.4024248458885974,0.31942516245575103,0.36274501377258694,0.4024248458885974,,
20,11,,train,0.45728915662650604,1.0,0.366981720415898,1.5027487,0.4566628142635224,0.41666880217622426,0.4412892221915065,0.4566628142635224,,
21,11,,test,0.7324971201843082,1.0,0.5744627677691673,1.3553417,0.4649791981727899,0.4238471062467671,0.4345181326068231,0.4649791981727899,,
22,12,,train,0.4946385542168675,1.0,0.4097617572823402,1.4434958,0.492557355271111,0.4756108064404146,0.4849517986170287,0.492557355271111,,
23,12,,test,0.6755407653910149,1.0,0.5231884737978518,1.3530211,0.49388407421412867,0.4632225424972339,0.46716449730398696,0.49388407421412867,,
24,13,,train,0.5076506024096386,1.0,0.4254761393840168,1.4146159,0.5086032428472371,0.4942998683736932,0.4973649910939623,0.5086032428472371,,
25,13,,test,0.7138103161397671,1.0,0.5642675978856418,1.2782948,0.5120962696921453,0.4990126960731488,0.49917415748580385,0.5120962696921453,,
26,14,,train,0.5521084337349398,1.0,0.4773739674900701,1.3531431,0.5493729959339289,0.5308775084962053,0.5323906860956231,0.5493729959339289,,
27,14,,test,0.7412005631639575,1.0,0.6046006515351283,1.2727339,0.5416482065694063,0.5200393873979874,0.5280349445446555,0.5416482065694063,,
28,15,,train,0.5542168674698795,1.0,0.47963247666919034,1.3258241,0.550454950630643,0.5367915254822347,0.5357361898133475,0.550454950630643,,
29,15,,test,0.7236656853961346,1.0,0.5875142177940341,1.2586744,0.5557768214966672,0.5412425470033831,0.5378230193692162,0.5557768214966672,,
30,16,,train,0.5875301204819278,1.0,0.5188892790810654,1.2875173,0.5897102115287554,0.5679538982373729,0.5699481342623016,0.5897102115287554,,
31,16,,test,0.6900038397542557,1.0,0.5583002402366135,1.2846856,0.5829254067584683,0.5502199085714764,0.545366961797612,0.5829254067584683,,
32,17,,train,0.598433734939759,1.0,0.5314040559569846,1.2542682,0.5971088951679961,0.5888445627581571,0.5871837588747172,0.5971088951679961,,
33,17,,test,0.7403046205042877,1.0,0.6108768051153846,1.187777,0.5792341458077127,0.5632425724565934,0.5793543848089496,0.5792341458077127,,
34,18,,train,0.6268072289156627,1.0,0.5645952243289135,1.221519,0.6258348760484137,0.6198242687150451,0.6192127986689264,0.6258348760484137,,
35,18,,test,0.5087674388839114,1.0,0.39929393590108847,1.3112171,0.5980666647279296,0.5312330301848018,0.5675276355192409,0.5980666647279296,,
36,19,,train,0.6343373493975903,1.0,0.5734954652750421,1.1955556,0.6357311946310428,0.6281388081046069,0.6302816803860634,0.6357311946310428,,
37,19,,test,0.7655190067835659,1.0,0.6455217044221845,1.1978292,0.6154037382772138,0.5973136340560039,0.608094551251442,0.6154037382772138,,
38,20,,train,0.6521686746987951,1.0,0.5941014094740937,1.1829587,0.6517494914607436,0.6494961180352469,0.6489255971715296,0.6517494914607436,,
39,20,,test,0.6749008063483937,1.0,0.5548965723773555,1.2219762,0.648937903259178,0.6005572522699948,0.6067237530630648,0.648937903259178,,
40,21,,train,0.6519879518072289,1.0,0.5939648460867339,1.1776861,0.6513875836734065,0.6503389387527909,0.6499173718300283,0.6513875836734065,,
41,21,,test,0.6813003967746064,1.0,0.5472794488372907,1.2114455,0.590330734574343,0.5513635670303838,0.6054743785479693,0.590330734574343,,
42,22,,train,0.6731927710843374,1.0,0.6187140439627132,1.1510614,0.674718639524239,0.673614797681151,0.6729371070878932,0.674718639524239,,
43,22,,test,0.6596697811340074,1.0,0.5382839157492378,1.3152486,0.6374692336056942,0.5692395904481621,0.5731189015436817,0.6374692336056942,,
44,23,,train,0.678855421686747,1.0,0.6253280468989539,1.1447136,0.6775516221128021,0.6753683610381493,0.6745820969485639,0.6775516221128021,,
45,23,,test,0.7577115064635863,1.0,0.6452465598471688,1.2008622,0.6536003404702457,0.6212493162415627,0.6073626546776991,0.6536003404702457,,
46,24,,train,0.6931927710843373,1.0,0.641985707190722,1.117018,0.691679350846546,0.6904489254581209,0.6906899818068881,0.691679350846546,,
47,24,,test,0.777166261359273,1.0,0.6629562140240689,1.0233536,0.6484882664245532,0.6329511072386118,0.6396635432583191,0.6484882664245532,,
48,25,,train,0.7075903614457831,1.0,0.6587771816571558,1.0961988,0.7073966617980778,0.7066016948199384,0.706159539367427,0.7073966617980778,,
