,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.1445180722891566,1.0,0.43711638,-0.00037017285626597365,8.464578,8.901695,0.14256937719183113,0.12870934996780578,0.1440564808521671,0.14256937719183113
2,2,2,,train,0.1552409638554217,1.0,0.43737042,0.01510326491335389,8.131842,8.569212,0.15588734255221112,0.14424576509264456,0.1630133548779853,0.15588734255221112
4,4,3,,train,0.22819277108433736,1.0,0.47116974,0.09932484597816753,7.8500295,8.321199,0.2283411277730219,0.15018568174220828,0.21558144730302625,0.2283411277730219
6,6,4,,train,0.30012048192771085,1.0,0.5297090999999999,0.18420663627116,7.2834826,7.813192,0.3017119372339737,0.24994737605838105,0.279026856954118,0.3017119372339737
8,8,5,,train,0.3316265060240964,0.9999525547027588,0.59460163,0.2193119843572972,6.827709,7.4223113,0.3279487992467763,0.28801803957723715,0.3296916796902859,0.3279487992467763
10,10,6,,train,0.3513855421686747,0.9541230201721193,0.61849344,0.24291412047624936,6.6994085000000005,7.317902,0.35033382116985645,0.3146212431811368,0.3376157967412697,0.35033382116985645
12,12,7,,train,0.3666265060240964,0.7546438574790955,0.70045507,0.2611775613673066,6.2579536,6.958408400000001,0.3675948010634468,0.34017898668939256,0.35578881590038625,0.3675948010634468
14,14,8,,train,0.4526506024096386,0.692901611328125,0.80710214,0.3614540360290613,5.735635,6.5427365,0.4518271936281897,0.4220796071422889,0.4355619732131896,0.4518271936281897
16,16,9,,train,0.4843373493975904,0.6705771088600159,0.88782865,0.3985730347839765,5.486487,6.3743157,0.484903532189857,0.4692826926377847,0.4679806567214486,0.484903532189857
18,18,10,,train,0.4966867469879518,0.6650879979133606,0.9242305000000001,0.4124654943204171,5.1990867,6.1233177,0.494259274290265,0.4780143284444835,0.4763360455518745,0.494259274290265
20,20,11,,train,0.5055421686746988,0.6618004441261292,0.9461069999999999,0.4225198491636738,5.1395383,6.0856447,0.5037546777615699,0.4852140869818808,0.4874883377309341,0.5037546777615699
