epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.012722322181005382,0.0,0.0,0.0,0.0
4,0.03063984334613152,0.02627543209632061,0.0,0.04099942611596533,0.0,0.021196628121444315,0.0
5,0.00724695206098162,0.0,0.0,0.0,0.001294692271930937,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.007256744947238667,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0025612040990254104,0.0,0.0,0.0,0.0,0.0,0.0
39,0.191109577438905,0.06162195292279427,0.07763498572091057,0.04342822893038759,0.032936242322721514,0.23023154859354192,0.05181653094973671
40,0.1498842165749705,0.07281332029982988,0.058651564436007005,0.07014698784384378,0.03935634653443057,0.19550696975161946,0.06628750564721936
41,0.1521777523066503,0.07618096766062007,0.07025669245682745,0.06947184993989068,0.0588542920209164,0.1826032757165793,0.08011864933528268
42,0.13036070254737978,0.07789091309314972,0.055279435363355445,0.079404013831594,0.05455132862047309,0.17959554363541175,0.07104257659205208
43,0.16944211532707062,0.0502296877204083,0.04428141202070505,0.043379682299224044,0.016830999535102184,0.21289072737295578,0.025287863173601592
44,0.14129584842355025,0.07110750769477629,0.04768652389983306,0.0551034992031018,0.03935229578549566,0.18865262171114816,0.06696063897282664
45,0.1362194423802723,0.07760385530159375,0.05601738708046076,0.05828043105071704,0.039735860273102636,0.17190774661110972,0.07689976959954503
46,0.15694476399291477,0.05935540644103811,0.0623302339784815,0.061285873296047635,0.04254091297878727,0.18919615570055134,0.06318568385974703
47,0.14942541514916793,0.07115296161687619,0.04324635529955239,0.06289687893193288,0.02765149887418675,0.1871970244380711,0.06001496137662827
48,0.13539367715856204,0.16351410798606186,0.05476163590081138,0.10305574785257937,0.07129677347771629,0.14947040861037691,0.0880246576914224
49,0.14621946450032117,0.20771072441224106,0.05657834225597656,0.09110573568363439,0.053410333262623864,0.16558955064931788,0.07870994418111367
50,0.14878479597454677,0.20848035494471445,0.047031440491553916,0.07333490179154377,0.044069884858596316,0.16586710240042163,0.06598845846579982
51,0.13790835483805905,0.21932631482703382,0.07451742700013736,0.07073477760198317,0.0502568916471193,0.16655893299217933,0.05177546159822399
52,0.1457057816309539,0.16736328870661094,0.07751205584237586,0.10995322657253194,0.08674813234326785,0.17236206765181988,0.10822082091613819
53,0.14881245545795824,0.16965884942748335,0.05118595836403327,0.12795393956016152,0.0889628351956064,0.16913669009274215,0.11079173949975331
54,0.12930925475525518,0.20431064582429415,0.05354504971567709,0.10995334260235809,0.07462031940952783,0.165922628211768,0.10362926927358834
55,0.14883987120044717,0.16678383841431396,0.03164500516849701,0.18953345125355606,0.0936433986096758,0.16939891968553825,0.19244109487480707
56,0.11330006286607085,0.16593532061232613,0.05295803089440984,0.11948462461720273,0.12166500199106632,0.13578331128130056,0.1552022868083422
57,0.12255554371928305,0.1649616893080008,0.05554960886068419,0.09324215721764538,0.11800006879474688,0.14858515010198908,0.11097509969449325
58,0.1481069488771263,0.16160226188811772,0.06787414530190855,0.09845387336044636,0.14756019133341636,0.1746434682451136,0.12550781882891468
59,0.09694726827749742,0.14454773602356608,0.07366770584059436,0.0837757623252663,0.12812779721722053,0.1460887747963613,0.09008723564229378
60,0.11538650504095103,0.13693075887241687,0.08178769135735661,0.07624024095186166,0.14533447130590005,0.14204674645230567,0.09404377485610867
61,0.10324851571474622,0.14717449206031624,0.07511316371550052,0.07221101488807317,0.12931091433470374,0.13957156749319827,0.07524806361967179
62,0.12783090337898947,0.1691035748112477,0.05659974608548886,0.10409371047531318,0.16753320732206428,0.16013124022444708,0.10180770315592806
63,0.13777475713702644,0.14898503869056415,0.06916580953025947,0.07969912036696421,0.15009092653526324,0.15947452679487387,0.08739686802099111
64,0.15072955823333725,0.16469355658263846,0.06331499885156874,0.08604133878599377,0.14603922758570287,0.17987038275750264,0.09836533586686727
65,0.11246916929605096,0.14048075350614397,0.06437338344821444,0.07232535705141682,0.14521755751324636,0.1512753692214979,0.07883720978988913
