,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.145,1.0,0.43707466,0.0017105219403709148,8.5552845,8.992360000000001,0.14434938595882893,0.12898212273496987,0.14179388766109324,0.14434938595882893
2,2,2,,train,0.1930722891566265,1.0,0.45656377,0.05732204540813279,8.047964,8.504529,0.19189357631911436,0.16459783892524169,0.18834047871240134,0.19189357631911436
4,4,3,,train,0.23126506024096385,1.0,0.49187,0.10094092721744576,7.6803803,8.17225,0.2280462947323909,0.14876594261965426,0.1892682832310409,0.2280462947323909
6,6,4,,train,0.2544578313253012,1.0,0.5325073,0.1317152552177055,7.366287,7.898793700000001,0.2573349667929001,0.18495506761279906,0.2049627817880608,0.2573349667929001
8,8,5,,train,0.2484939759036145,0.9694657325744628,0.5520291,0.12214521909268887,7.270302,7.8223305,0.2465082462438201,0.1926817601840352,0.21180074481925606,0.2465082462438201
10,10,6,,train,0.26,0.6098673343658447,0.6139458999999999,0.13718998815867367,7.1188073,7.7327533,0.2609846677308946,0.2438674485794731,0.25424694577390416,0.2609846677308946
12,12,7,,train,0.2893373493975904,0.5705333352088928,0.59948635,0.170091605087432,7.142005999999999,7.741492,0.2882581887472209,0.24207453406364254,0.2715397313716937,0.2882581887472209
14,14,8,,train,0.3075903614457831,0.5271058678627014,0.67626613,0.190785543498865,6.6796474,7.355914,0.3045526417523368,0.2307202469067908,0.2797417981612414,0.3045526417523368
16,16,9,,train,0.34518072289156626,0.5371186733245851,0.72294396,0.2352748040301097,6.3583565,7.0813007,0.34253936926063683,0.2868560656133187,0.3305443047461112,0.34253936926063683
18,18,10,,train,0.39144578313253015,0.5077609419822693,0.794297,0.2896142131042136,6.052773,6.8470699999999995,0.3905557162372742,0.33645275646189504,0.3748857630285488,0.3905557162372742
20,20,11,,train,0.4272289156626506,0.6086205840110779,0.81430614,0.3315106567436987,5.908472,6.722777400000001,0.4259486207754072,0.3938151396059362,0.4099615943956523,0.4259486207754072
22,22,12,,train,0.4895180722891566,0.7278607487678528,0.8588068000000001,0.4046097989517068,5.510586,6.369392400000001,0.4896125337157846,0.459850979707875,0.4673256150015468,0.4896125337157846
24,24,13,,train,0.5263253012048192,0.7136227488517761,0.92094654,0.4471532791208165,5.1311684,6.0521145,0.525467304960468,0.5041759982001065,0.5111089282512838,0.525467304960468
