,Unnamed: 0,epoch,iteration,mode,accuracy,loss,loss_classification,earliness_reward,lr,mean_accuracy,mean_recall,mean_precision,mean_f1,kappa,earliness
64,64,33,,train,0.89,0.19618225,0.51490974,0.3187275,0.007106690545187016,0.8492286115006824,0.8492286115006824,0.8882536382536153,0.8650472334677678,0.7309197651663406,0.27178946137428284
66,66,34,,train,0.92,0.19843209,0.5232822,0.32485008,0.00700140042014005,0.8887330528284045,0.8887330528284045,0.9218670725519806,0.9028654686735936,0.8061076102762967,0.26568421721458435
68,68,35,,train,0.92,0.18800554,0.5156454,0.32763985,0.006900655593423542,0.8887330528284045,0.8887330528284045,0.9218670725519806,0.9028654686735936,0.8061076102762967,0.27642104029655457
70,70,36,,train,0.95,0.18673116,0.5153082,0.32857704,0.006804138174397717,0.9460028050490664,0.9460028050490664,0.9384191176470376,0.9420692851344572,0.8841519925857274,0.27431580424308777
72,72,37,,train,0.92,0.15414813,0.48194346,0.32779533,0.006711560552140243,0.9064983637213444,0.9064983637213444,0.9064983637213444,0.9064983637208442,0.8129967274427303,0.2817894816398621
74,74,38,,train,0.96,0.17925572,0.50294095,0.32368523,0.00662266178532522,0.9443665264141906,0.9443665264141906,0.9616318601262516,0.9523809523804304,0.9048072346501664,0.2878947257995605
76,76,39,,train,0.97,0.15979046,0.4829267,0.32313624,0.006537204504606135,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.2966315746307373
78,78,40,,train,0.96,0.1215336,0.44419464,0.32266104,0.006454972243679029,0.9532491818606604,0.9532491818606604,0.9532491818606604,0.9532491818601604,0.906498363721365,0.3205263018608093
80,80,41,,train,0.93,0.12781411,0.4527366,0.32492247,0.006375767130633384,0.9048620850864684,0.9048620850864684,0.9295634920634692,0.9158552710657131,0.8318924111431317,0.28852632641792303
82,82,42,,train,0.96,0.10957277,0.43785655,0.32828379999999996,0.006299407883487121,0.9443665264141906,0.9443665264141906,0.9616318601262516,0.9523809523804304,0.9048072346501664,0.3105263113975525
84,84,43,,train,0.97,0.116273165,0.4491652,0.33289203,0.0062257280636469035,0.9693782141187244,0.9693782141187244,0.9613970588235076,0.9652415710804648,0.9304911955514364,0.2753684222698212
86,86,44,,train,0.97,0.13505438,0.47066709999999995,0.3356127,0.006154574548966636,0.9516129032257848,0.9516129032257848,0.9791666666666422,0.9639379733135781,0.9279538904899136,0.2763158082962036
88,88,45,,train,0.97,0.10985929,0.44854397,0.33868468,0.006085806194501846,0.9516129032257848,0.9516129032257848,0.9791666666666422,0.9639379733135781,0.9279538904899136,0.2751579284667969
90,90,46,,train,0.94,0.082262635,0.42127836,0.33901572,0.006019292654288461,0.9387564282374724,0.9387564282374724,0.9244685662595904,0.9310661764700672,0.8621956821313733,0.25726318359375
92,92,47,,train,0.95,0.08116153,0.42066795,0.33950642,0.005954913341754136,0.9460028050490664,0.9460028050490664,0.9384191176470376,0.9420692851344572,0.8841519925857274,0.25768420100212097
94,94,48,,train,0.97,0.07873219,0.4179549,0.33922270000000004,0.005892556509887896,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.2810526192188263
96,96,49,,train,0.96,0.07361832,0.41180846,0.33819014,0.005832118435198043,0.9532491818606604,0.9532491818606604,0.9532491818606604,0.9532491818601604,0.906498363721365,0.281157910823822
98,98,50,,train,0.96,0.046693474000000006,0.38599,0.33929652,0.005773502691896258,0.9621318373071304,0.9621318373071304,0.9470827679782692,0.9540441176465374,0.9081304547542488,0.2793684303760529
100,100,51,,train,0.99,0.086943924,0.42398739999999996,0.33704346,0.005716619504750295,0.9838709677419126,0.9838709677419126,0.9928571428571192,0.9882061563858432,0.9764150943396226,0.2934736907482147
102,102,52,,train,0.97,0.06644276,0.40658479999999997,0.34014204,0.00566138517072298,0.9516129032257848,0.9516129032257848,0.9791666666666422,0.9639379733135781,0.9279538904899136,0.26273685693740845
104,104,53,,train,0.97,0.057033807,0.39913264,0.34209883,0.005607721540920443,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.27421054244041443
106,106,54,,train,0.97,0.036197662,0.38075882,0.34456116,0.005555555555555557,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.2722105383872986
108,108,55,,train,0.95,0.039509177,0.38662994,0.34712076,0.005504818825631804,0.9282374941561268,0.9282374941561268,0.9543650793650555,0.9398966221896456,0.8799231508165225,0.2548421025276184
110,110,56,,train,0.97,0.04835874,0.39777374,0.34941500000000003,0.0054554472558998104,0.9693782141187244,0.9693782141187244,0.9613970588235076,0.9652415710804648,0.9304911955514364,0.2700000107288361
112,112,57,,train,0.98,0.026796877,0.37941346,0.35261658,0.005407380704358753,0.9855072463767884,0.9855072463767884,0.969696969696948,0.9770220588230074,0.9540652273771244,0.24442104995250705
114,114,58,,train,0.97,0.028828502000000002,0.3808422,0.35201370000000004,0.005360562674188974,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.2564210593700409
116,116,59,,train,0.97,0.024391264,0.37668923,0.35229796,0.005314940034527339,0.9782608695651944,0.9782608695651944,0.9558823529411556,0.9658119658114446,0.9316939890710382,0.2602105140686035
118,118,60,,train,0.98,0.020959883999999998,0.37184852,0.35088864,0.0052704627669473,0.9677419354838488,0.9677419354838488,0.9859154929577224,0.9761904761899534,0.9524036173250832,0.2583158016204834
