,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14162650602409638,1.0,0.0594726,-0.001745200298959885,0.7592420999999999,0.81871474,0.1413208666955575,0.1339595845803371,0.14083224400621505,0.1413208666955575
2,2,2,,train,0.1413855421686747,1.0,0.05955724,-0.0016621975885178387,0.72245616,0.7820134,0.14148712349522302,0.1258509418454002,0.13896909600130175,0.14148712349522302
4,4,3,,train,0.14240963855421687,1.0,0.05960923,-0.000160627461915925,0.72064286,0.7802521,0.14271416771149262,0.12296301585613492,0.14299874075130314,0.14271416771149262
6,6,4,,train,0.1439156626506024,0.9992098808288574,0.059709396,0.0011365408095924733,0.7202889,0.7799983,0.14382476348654274,0.13487502430997594,0.14437900327907216,0.14382476348654274
8,8,5,,train,0.13933734939759035,0.3647057116031647,0.13102041,-0.005044806719567538,0.65130097,0.7823214,0.13852920439448851,0.12114557010537655,0.137103562565934,0.13852920439448851
10,10,6,,train,0.1424698795180723,1.1655476555461066e-05,0.17245969,-0.0017787538802599395,0.6117978000000001,0.7842574999999999,0.1414103708680549,0.1263129266268722,0.14842968543043006,0.1414103708680549
12,12,7,,train,0.1413253012048193,8.325341127601859e-07,0.17215940000000002,-0.002581663758272617,0.6137454999999999,0.7859049,0.14063677212126438,0.12812424293399646,0.13834679519841028,0.14063677212126438
14,14,8,,train,0.14319277108433734,0.0,0.17227481,-0.0010447206344826744,0.6104531,0.7827279,0.14196247729678732,0.13150725165435068,0.14186881182698766,0.14196247729678732
16,16,9,,train,0.1430722891566265,8.325341127601859e-07,0.17225741,-0.000258410502781519,0.608625,0.7808824000000001,0.14260799395314902,0.1401447344969416,0.14208167285858347,0.14260799395314902
18,18,10,,train,0.1430722891566265,3.3301364510407434e-06,0.17234005,-0.00035602481769191025,0.6102046999999999,0.7825448,0.14256138441030755,0.1192991376783059,0.14132602784225007,0.14256138441030755
20,20,11,,train,0.14289156626506025,3.3301364510407434e-06,0.17253305,0.0002878780549710656,0.6097955,0.7823286,0.14311584306882594,0.11586443632083768,0.14246494138758875,0.14311584306882594
22,22,12,,train,0.14487951807228916,3.3486372558400035e-05,0.17216618,0.0015534592091980574,0.60917383,0.78134006,0.14417017600235474,0.12688730390127398,0.1439785618796183,0.14417017600235474
24,24,13,,train,0.14825301204819274,9.053036774275824e-05,0.17280196,0.004602700076151205,0.6067516,0.7795536,0.14677699104575725,0.11998449036751828,0.14123371900308904,0.14677699104575725
26,26,14,,train,0.1521686746987952,0.000934719806537032,0.17460948,0.012053557728688007,0.6027296,0.77733916,0.15328152999744454,0.13923386467531088,0.1492433271679828,0.15328152999744454
28,28,15,,train,0.1522289156626506,0.0014423496322706342,0.18321005,0.011126190204654942,0.5764241999999999,0.7596341999999999,0.15267099414223048,0.129318204067217,0.1526209485531908,0.15267099414223048
30,30,16,,train,0.15469879518072288,0.002658219542354345,0.18948829999999997,0.01215261045205432,0.55655825,0.74604654,0.15305978228084025,0.13048147954427533,0.15393975988114228,0.15305978228084025
32,32,17,,train,0.15716867469879514,0.002242229646071792,0.19288836,0.015939118121871782,0.5518064,0.74469477,0.1565271874060377,0.12670519433119962,0.14762659869844047,0.1565271874060377
34,34,18,,train,0.1633132530120482,0.0019050227710977199,0.19738199,0.022249436548768924,0.5400342,0.73741615,0.16146798772869905,0.1356171589884751,0.15543812335020785,0.16146798772869905
36,36,19,,train,0.1666867469879518,0.0030380396638065572,0.20402314,0.02797354115497353,0.5190593,0.7230825,0.16700093258651413,0.12579040740260922,0.15067577723252507,0.16700093258651413
38,38,20,,train,0.16837349397590362,0.004111299756914377,0.21334116,0.029352005177862343,0.4957669,0.7091081,0.16772672453670712,0.13422327728447422,0.15982264398408713,0.16772672453670712
40,40,21,,train,0.16975903614457832,0.005112869199365377,0.21677642,0.032609997095731015,0.48479226,0.7015687,0.1712727325854219,0.14351357212556787,0.16065592134768578,0.1712727325854219
42,42,22,,train,0.17602409638554214,0.0068337484262883655,0.22941819,0.03526859799983308,0.45647547,0.6858936,0.17222316375532307,0.12658952589776348,0.20031558784911835,0.17222316375532307
44,44,23,,train,0.17927710843373493,0.008008763194084167,0.23644044,0.041146295158482483,0.43931818,0.6757586,0.17767677665969836,0.13069718940273484,0.16142808244091042,0.17767677665969836
46,46,24,,train,0.17650602409638555,0.011685818433761595,0.23918617,0.0403035990484338,0.4315451,0.6707313,0.1774967817145378,0.13009325265069774,0.15859813674846035,0.1774967817145378
48,48,25,,train,0.18126506024096387,0.014938807114958763,0.24470888,0.04585350439660072,0.42086917,0.66557807,0.18257087034855451,0.1211618244792758,0.17331661041321172,0.18257087034855451
50,50,26,,train,0.1906024096385542,0.013046611100435257,0.24805866,0.05416007892080945,0.41452497,0.6625837,0.18859323487018154,0.11480352750351787,0.16238475289766133,0.18859323487018154
52,52,27,,train,0.18283132530120486,0.01692584902048111,0.25447756,0.04938916755950943,0.39393187,0.6484094,0.1861456022803034,0.13471688140180854,0.16994663030160478,0.1861456022803034
54,54,28,,train,0.18686746987951808,0.014823331497609615,0.26179042,0.05165602704226201,0.38061404,0.64240444,0.18716962689979288,0.11220576462177817,0.15347041529022687,0.18716962689979288
56,56,29,,train,0.19367469879518076,0.014423406682908537,0.2640805,0.056150688969939175,0.37737137,0.6414519000000001,0.18991949437910044,0.11978837822081978,0.17194811307872054,0.18991949437910044
58,58,30,,train,0.1866265060240964,0.01353219337761402,0.26568390000000003,0.052944049330748436,0.37077287,0.6364566999999999,0.188707876584854,0.11117545119975117,0.16805831005750388,0.188707876584854
