epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0103968587106207,1.0338887841665603,1.0190259744412544,1.0,1.0,1.045815566684243,1.0251894981543328
22,1.0270766000209484,0.8403665145841934,1.008975561741784,1.0753673966779105,1.0481196854571675,1.0478975800645123,1.0474091733239623
23,1.0288980518689832,0.8637172493768217,1.0,1.0561715951521213,1.043302743377514,1.0432017103325462,1.034820776860401
24,1.0223583834965757,0.8665662829307818,1.0236463496794017,1.040896167107816,1.0286985307133412,1.0412617584190014,1.031857306489303
25,1.037083843332813,0.8172266175377285,1.0209086002507828,1.0636977233430158,1.0485518442223256,1.051143878753666,1.0472049009181033
26,1.0227923622843271,0.8661212171038233,1.024739979370675,1.0424738128801383,1.0332006259268744,1.0338535094114636,1.0267540086909446
27,1.024147810861025,0.8976906230384734,1.0,1.0543714325125213,1.0230258039504119,1.0378157575576217,1.0484560619137735
28,1.0433369006699647,0.7211476535724985,1.0246536396900392,1.083243692974258,1.079378706252173,1.0646928150387664,1.0604809576666248
29,1.029098560547706,0.8138381650551405,1.0,1.054380900706942,1.0480333741555863,1.0404632434300676,1.043462009359082
30,1.0388617309950583,0.7607756331524702,1.0265103333289225,1.0776280591995353,1.0586625297122974,1.06369269139579,1.047657708014419
31,1.0363651401357736,0.7608988929576279,1.0437179998764954,1.0543490708728336,1.050566460365733,1.0548806280076588,1.0487895205459894
32,1.0296160424114418,0.7717270479480186,1.0143557493724642,1.0630828475320102,1.0513267425238364,1.0451720362450805,1.0475230688083843
33,1.0330307845313094,0.7776545035561222,1.0259471580230906,1.051938462691576,1.0499021584419623,1.0527453255885653,1.0398660176090977
34,1.0371625625227616,0.716384532974208,1.0295608177742417,1.0819792687534457,1.0663384820128883,1.0569023407143499,1.0569041476399264
35,1.026179223342683,0.8440103162228566,1.0,1.0437378631796816,1.025644880179996,1.0395116313567876,1.0257193095925654
36,1.0390635919986597,0.7261049685474219,1.0167816602778976,1.0636480004130253,1.0609879247666676,1.0604189540473365,1.052303446066172
37,1.0442313956657345,0.7180702411597039,1.0240132333683618,1.0788693180029412,1.067703322495414,1.073886279681683,1.069788785232475
38,1.0375092985341043,0.7333580244565501,1.0141803957913864,1.076208075105002,1.0720148553116855,1.0462414499436954,1.0543636259447435
39,1.0611809187261692,0.6555772889123465,1.0364272351562414,0.7543660212864396,0.6902799452643583,1.08276118445671,0.7961823405896618
40,1.0556631351732675,0.6504325260412133,1.0513944061155347,0.6561642177241229,0.6695367148945602,1.074776479624297,0.732292364390833
41,1.0550222862123155,0.6450589790870981,1.0502297241685088,0.694835018980054,0.6999136371014543,1.0750136410194822,0.7664439894017709
42,1.0411209780698951,0.7257859013216887,1.0270546169879315,0.7448429481228148,0.7400456743912244,1.065259246528639,0.8362141609692834
43,1.0633859953569642,0.6660117551316169,1.0388929497309622,0.667714810860063,0.6427641653879915,1.0768629486209136,0.7179778700949281
44,1.0534908475989027,0.674040610301116,1.0420768976983816,0.6764738051258691,0.6927863770558271,1.0730084590242848,0.73894742894283
45,1.0478007305609012,0.7022464576500174,1.0394482823190592,0.7069438372687746,0.7037618147897592,1.0672728142189691,0.7754228875323266
46,1.0467628203504105,0.7497393739246214,1.0298776735580957,0.714694664012133,0.7306513701777874,1.0607365494799832,0.788381860604218
47,1.0675750915689595,0.6501188361562936,1.0445818882500122,0.6507425538699032,0.5878471739273858,1.0797917829777637,0.6791302620119894
48,1.0607540512717828,0.6702686204645218,1.043991645832465,0.6758342547871269,0.661195037420022,1.0744977469698662,0.7274681287456426
49,1.0548218580851183,0.6731525928637162,1.0555149244965256,0.674977589773391,0.6782137289301466,1.0791413696367647,0.7358015490266094
50,1.0596605023705208,0.6484735260849293,1.0642190007437058,0.6647502024621939,0.642529808963291,1.0788799657613675,0.7215337004725515
51,1.0546490311253223,0.6736405741970981,1.058126519965604,0.6887910433287823,0.6652470879189438,1.082675254706662,0.7712341339106332
52,1.0560297171382418,0.6444940951086844,1.060583119476109,0.6646440405792529,0.6497298899890509,1.0748998972561243,0.7322682679622379
53,1.0669988465358378,0.6252441281120246,1.053515925459912,0.6564366603148278,0.6399677095057582,1.0780838259963486,0.7041257939186797
54,1.0536483296174888,0.6985405480249087,1.0380031136344154,0.6912303322136373,0.6811407149654641,1.0631974953756218,0.7411600200483561
55,1.063582722705816,0.6696894719175353,1.035442893598078,0.6952657722471113,0.6408857109457117,1.082679813098087,0.7362656506302627
56,1.06029333899792,0.6624642594203323,1.04776234904622,0.7035759556580268,0.706937276977254,1.0783379298453069,0.744380852987704
57,1.062625111744766,0.6590642828834804,1.043449814655362,0.6920281232448711,0.6133029321078055,1.0817756828060334,0.7196533963898949
58,1.0649710227973943,0.6940308969613723,1.0457413889612188,0.6541783831778595,0.6086168354601433,1.0799089133309097,0.7081176740997958
59,1.0507659272000678,0.702091700170281,1.0458959872437352,0.7030520116265445,0.6781260976905727,1.0704309920502724,0.764952579634143
60,1.0641893733767138,0.6582480596867578,1.052803396852422,0.6627492221838903,0.6008361346894198,1.0805195359998614,0.6970485056558908
61,1.0593257956766324,0.6628977027550409,1.055188997622568,0.6839035356142587,0.6109293760667702,1.0821247934487463,0.7541502756145866
62,1.0595050176968308,0.6601663576904699,1.0516564784697415,0.657923884059684,0.6255704570034614,1.070784789429729,0.7042831586720145
63,1.0591102026821706,0.6954425285444596,1.0388515604044053,0.6648713421371338,0.6458442829361093,1.0800828289890052,0.7089008944417157
64,1.0815349097337075,0.659029794708326,1.058179760771056,0.6947047228558229,0.651841015101711,0.9998385562538097,0.7245105206422979
65,1.0767253756020883,0.6924066833052107,1.0506399816386474,0.6525999077166491,0.6349753825307447,1.0086657390512008,0.7047771286879994
66,1.064770869763943,0.6542606473723112,1.0538157337057668,0.6078010338937567,0.600653120188205,0.8592386949972738,0.6770057317879767
67,0.848962918101799,0.5580241854821555,1.0808252497972881,0.6459096798574866,0.5758574718240184,0.6876508099456315,0.6631265575656147
68,0.6491459102633943,0.6386564069392988,1.057352645937099,0.6387477656034335,0.624098233184221,0.6531517205417299,0.6660163760495093
69,0.6209534811744398,0.6729905228210312,1.0544378235139418,0.6749937760262716,0.6240218180908863,0.6790971672347245,0.68944042811345
70,0.5868585812977113,0.6437629389604026,1.0619817812684769,0.6343281761163154,0.6293247715544927,0.6301793854538614,0.6656421832885797
71,0.619983889674814,0.6540717678845042,1.0668878560604251,0.6568264904304535,0.5766439398326979,0.6604795438914296,0.6733384401415807
72,0.6155465727561731,0.636268042038707,1.0505335028066838,0.6700067934104088,0.6429028186665096,0.6597162478759973,0.7086382137115049
73,0.6022656237096049,0.6490569989394622,1.0553488108409503,0.640759890350014,0.6173570283453432,0.6629838853560277,0.6619084922376358
74,0.6370104638032037,0.6566488706874558,1.045944053262884,0.6419951339605225,0.6279472990643814,0.6762974618722639,0.6666192947733964
75,0.6360558131316121,0.6635164018788914,1.044393899696868,0.6901468149576264,0.6533067388732042,0.6880535122998779,0.7088958353031197
76,0.6734904176335208,0.6237400834087274,1.0542124287176111,0.6371544145254555,0.6035966001676946,0.7055563218385127,0.6666405509377046
77,0.6117202502883811,0.610228218270763,1.0780162519407166,0.6301551258162118,0.572779884075893,0.650223912905833,0.6603408957452508
78,0.5978042442054635,0.602155979233975,1.0659527977756067,0.6519216572622569,0.5850935761797921,0.6506719286998229,0.6837606236498794
79,0.6670951200232975,0.6474696763112008,1.0479391671030327,0.6138003116080044,0.595307728335737,0.7003988001278036,0.6606143172352228
80,0.6158774406672075,0.6072953482291239,1.0555808181702668,0.6383258913593388,0.6487019753980555,0.6451933315941227,0.6808959654857795
81,0.598507493987962,0.6257166308130278,1.0637611298151872,0.6340683991256097,0.592524884369866,0.633399316478005,0.6638560457216129
82,0.6237632558419144,0.6022092637524246,1.0592580873926432,0.6194662387367117,0.5861055997218634,0.6597537598822225,0.6836810661007459
83,0.6194343638456402,0.6714900016642977,1.0663967297881285,0.6168040471625409,0.6062558069929163,0.6902553423291611,0.6488213246348657
84,0.5732572385311089,0.6113265540292792,1.038572850137783,0.6244367456402251,0.6336099849645169,0.6240523472586577,0.6476983546515216
85,0.5873906605542603,0.5994546760912087,0.6130680835373413,0.625504272994422,0.6322782814764834,0.648868846296844,0.672270849957143
86,0.5919448467001694,0.6100800757274287,0.5942457699505921,0.6216010294630164,0.6323362049302559,0.6318586565263373,0.647934190214564
87,0.5663764274683918,0.6085721925269233,0.6476823399795176,0.6263957904879982,0.6012374581735236,0.6454623340178454,0.6670048190657498
88,0.6202418359533242,0.613820615683025,0.6414227249315625,0.597597816510336,0.6079176367881592,0.6567181376195244,0.6211247941985237
89,0.5704948937589143,0.5870291290837214,0.546180207115302,0.6419999887907489,0.6463198734414592,0.610478846090672,0.6902115151385495
90,0.583701734945231,0.6077540350840412,0.586334466865892,0.6279708164627662,0.6209919285155452,0.637759628788059,0.667128621644192
91,0.5831356972694515,0.6055009375313154,0.60397859723061,0.6119573343768131,0.6043182294724765,0.6294021426787222,0.6368128764462553
92,0.5492992522387237,0.6102664652351872,0.6110994509796969,0.6625239294198002,0.5998476443282412,0.6116989604571578,0.6806072571837486
93,0.5040006912453333,0.5835649043875762,0.6647813805327343,0.6287086003076225,0.6099199723582244,0.5822595637720172,0.6576650921789458
94,0.6624896482076457,0.565652484711489,0.5583891984537835,0.6089868407847637,0.593398355988914,0.6590222253657965,0.6333930550909258
95,0.5707037530485365,0.5860497788903078,0.6263148321570544,0.6304594567428737,0.5808852235202758,0.6083497631659408,0.6466969615362815
96,0.5925808012938512,0.5904622773747888,0.5518662550904494,0.5930041362531374,0.6389194829100787,0.6278029380485991,0.6386663707546125
97,0.5919823140732254,0.6069827549039256,0.6878233853217696,0.5998860780820859,0.5734705327029928,0.6363890018445439,0.631101657411222
98,0.6009502893832038,0.5618109318833207,0.5619256347821106,0.6434161580532516,0.6168688558137556,0.622791734236795,0.6704991750502571
99,0.5721001338706411,0.607668445437331,0.5807555746548058,0.6094399067087184,0.592610155450493,0.6099157177773252,0.6199090132973077
