epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.010629691294424575,0.2228428107015803,0.020098475513755567,0.0,0.0,0.05140236833403675,0.026656912914798804
22,0.02871918605737241,0.23805241399795457,0.00944746221368444,0.09364470760228007,0.0551743591785079,0.05509668017699823,0.05293355830454067
23,0.030709680740223646,0.25904276619261907,0.0,0.06499512456388606,0.048799509985391704,0.048451054164567194,0.03684926197045716
24,0.023477893591303436,0.2558905655596,0.025340901373953194,0.04522915030109344,0.03066796046054864,0.046098653807078005,0.03371315456871613
25,0.04049021592873663,0.238763180326991,0.022109801451983952,0.07540990821696544,0.05519499530992111,0.059505333571813576,0.05212505629143075
26,0.023953335715896834,0.24594225999182065,0.025919730550426096,0.047174443132239265,0.037227668842806226,0.03707810633684773,0.028739334543339927
27,0.02556075380109444,0.258782878515178,0.0,0.06235462578983226,0.024583711063874473,0.04205272793632452,0.05436888021329883
28,0.0481211318440147,0.1986545958742572,0.02709894213534166,0.11071218036921586,0.10665677797468905,0.08126574342271839,0.07269502758462228
29,0.031098369178459238,0.23503532642508806,0.0,0.06239035448845473,0.05485289208621513,0.04496268100037127,0.04972010171989334
30,0.04253283104927951,0.22663493583682684,0.028676785495374658,0.09440852138440929,0.0693915126635025,0.07452883687760473,0.05322525225265809
31,0.03966625964586834,0.218041750100485,0.04897325513175062,0.06351398683922012,0.05879691304063014,0.06556679223713016,0.055436046225747646
32,0.031733862077821445,0.21336543116307558,0.014934899951615007,0.07736856181772477,0.062349670213430845,0.052558612922995615,0.05537805370264399
33,0.035722711938574986,0.21728733292977226,0.028971611047543665,0.059869134960483614,0.057250776901691815,0.06298154606100617,0.043879828571549255
34,0.04039989228386896,0.20715898530373586,0.032520920734344434,0.10632275614840381,0.08300514867955495,0.06710106587370473,0.06721921022084988
35,0.027860083228499262,0.2431926673490522,0.0,0.049200048053631276,0.02840796072085443,0.04494845175423785,0.027877272475603825
36,0.04267090230389386,0.20965942704788468,0.01830461180084929,0.07578035335420175,0.07309844798830212,0.07384227613207596,0.05981315689914555
37,0.04928992276043023,0.19977341919117564,0.025407484762613133,0.1014533516163865,0.08581031838018768,0.0930838799816455,0.08416081803351073
38,0.04108152447739525,0.20085262488851555,0.014888246499237109,0.10504210871844719,0.09794078123761146,0.05332806411692368,0.06722508472765255
39,0.07584618201835804,0.1645251445124698,0.040609989338995386,0.12891959271501102,0.12117353726906148,0.12021900222948835,0.15198726074503516
40,0.06841789548328564,0.15899469821029683,0.06542272014384867,0.08948879755605582,0.11107110642895177,0.10046076908811387,0.1265090238642901
41,0.06708811723327032,0.16272328022872104,0.06222028615907072,0.0889526660388774,0.11699182640186588,0.1040725086610269,0.12453635021316502
42,0.0474457316819898,0.18715584886874206,0.030164870098184846,0.1124112254337392,0.14371998362108918,0.08160720303407581,0.15295995294166145
43,0.08186269615114666,0.16632030187644872,0.044813155651168224,0.08793539909535718,0.09723212541150715,0.11278345855717173,0.11223768882604601
44,0.06597131198827517,0.16345745695338365,0.05147200709349092,0.08146330092418837,0.11430313190591536,0.10341715793692065,0.10934017818754312
45,0.05654311565961578,0.17640566777035055,0.046612589483366225,0.09867177844524522,0.14021096235001793,0.08857015205174024,0.1285519337127323
46,0.055087382593257884,0.18533024094097444,0.033052276732698796,0.11267260518860357,0.14667135841999787,0.076559571602218,0.14094983643503364
47,0.09113902484488183,0.15718455661294273,0.05262564629377036,0.08435599924805452,0.09340272948294137,0.12924810093801856,0.0908695800957184
48,0.0770874164999905,0.17062344922107844,0.05006200190282109,0.10080799428292532,0.1579028563500631,0.11060573347155365,0.11706674764939737
49,0.06643797137571235,0.1726589180719853,0.06529613427773531,0.10415300994145814,0.17459820864795977,0.10910012479237016,0.12199058657516355
50,0.0731616027436908,0.16124736132096754,0.07708901361371863,0.09560629489916864,0.16622175487745922,0.10868873966462957,0.11704513767583172
51,0.06492555968718217,0.1720978404729389,0.07026723210631594,0.11371226181617716,0.187116576455099,0.10779711447419106,0.1444322349032961
52,0.06755333529280445,0.1556480599343554,0.07576973466272427,0.10542660360446295,0.15913612161750473,0.10272141956583564,0.12298902756517277
53,0.0897590289745198,0.15352243727586284,0.06479863674262329,0.09128434939045806,0.14434748610775702,0.13005232993335644,0.10300365321949981
54,0.06474774594128564,0.17276146749420834,0.04306531869662053,0.09619356750775493,0.1234687572935065,0.08408238476444822,0.11293386553821375
55,0.08018400487977052,0.17556728740658187,0.03973289788808225,0.10902627644879191,0.13615320065764594,0.11867531366051683,0.11632607359098779
56,0.07443871583586235,0.17820014340675627,0.05565595693982799,0.09856019935550574,0.1621694933205814,0.10867163813177114,0.11032819869335789
57,0.07888192927418902,0.17131358865330443,0.0502494714550187,0.0911090055978122,0.13987553645818765,0.11458408175616454,0.09902327122804766
