alpha,Unnamed: 0,iteration,mode,accuracy,earliness,kappa,loss,mean_accuracy,mean_f1,mean_precision,mean_recall,loss_classification,loss_earliness
0.0,199,,test,0.5732753103801357,0.0,0.0,0.09857147,0.14285714285714282,0.1041095253590524,0.08189647291144794,0.14285714285714282,0.0,0.09857147
0.2,199,,test,0.0918981185204147,0.0006675453644604539,0.013416099504501459,0.5008338999999999,0.1550751328043696,0.06120807089852792,0.07112900535144435,0.1550751328043696,0.42197657,0.07885736
0.4,199,,test,0.8309228209394599,0.3652899368092419,0.7380795360709276,0.5816009,0.7045845587361684,0.6891673023367962,0.6857943710856567,0.7045845587361684,0.31491664,0.26668423
0.6,199,,test,0.7781901958274671,0.4846008760207772,0.6835433227606489,0.7348461,0.7644679127374834,0.7115896897712383,0.6933108908544398,0.7644679127374834,0.5100255,0.22482055
0.8,199,,test,0.8620248304108538,0.8916525821580792,0.7861791818727042,0.7293048000000001,0.749405171109443,0.7358657467225048,0.7333526206851458,0.749405171109443,0.53469753,0.19460733
1.0,199,,test,0.8666325355177269,1.0,0.7920213982410451,0.61735004,0.7494039347707294,0.7405799955575726,0.7356034849462183,0.7494039347707294,0.61735004,0.0
