,Unnamed: 0,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,0,1,,train,0.14180722891566264,1.0,0.0016288207,-0.0014745013812370762,0.4075789,0.4092077,0.14153054970424664,0.1378478981958588,0.1413539791109858,0.14153054970424664
2,2,2,,train,0.1396987951807229,1.0,0.0016324718,-0.004255553059862713,0.38864392,0.39027637,0.13923233640420846,0.12134669499164916,0.13904378331034656,0.13923233640420846
4,4,3,,train,0.14349397590361446,1.0,0.0016323777,0.0013443753562848565,0.38816223,0.38979462,0.14400290751292336,0.12622852459580075,0.14619759644872626,0.14400290751292336
6,6,4,,train,0.1403012048192771,0.998803436756134,0.0018240617,-0.0028312009731067626,0.38816258,0.38998663,0.14035965905511585,0.12659253729157188,0.13800979416804154,0.14035965905511585
8,8,5,,train,0.14457831325301204,0.2868104875087738,0.081626855,0.0008715501060395716,0.312275,0.39390182,0.14358949574389088,0.12914142935786035,0.1459158282601161,0.14358949574389088
10,10,6,,train,0.14210843373493975,1.6650682255203717e-06,0.11428011,-0.0021295325691843853,0.28032959999999996,0.3946097,0.14106639637063412,0.1253814482042629,0.14046866703197236,0.14106639637063412
12,12,7,,train,0.1416867469879518,0.0,0.114224,-0.0021889174973844768,0.2788913,0.39311528,0.14098286345495312,0.11176721909445733,0.13701961079551658,0.14098286345495312
14,14,8,,train,0.14560240963855425,0.0,0.11439694,0.0016681126656557359,0.2771051,0.39150205,0.1441777315145469,0.12788401040521832,0.1422209035428897,0.1441777315145469
16,16,9,,train,0.14698795180722893,3.3301364510407434e-06,0.114453144,0.00411907528785394,0.2759355,0.39038870000000003,0.1462642402979786,0.14135290739071868,0.14597055018106472,0.1462642402979786
18,18,10,,train,0.145,9.990409125748556e-06,0.11439586,0.0017500699928851456,0.27723613,0.39163196,0.14438713186211294,0.11569551879174718,0.14784269631098312,0.14438713186211294
20,20,11,,train,0.14337349397590365,4.868782707490027e-05,0.11465362,0.0005580780518278689,0.27687842,0.39153203,0.14333313529230154,0.1191243353394947,0.1403367836948934,0.14333313529230154
22,22,12,,train,0.15024096385542168,0.00021078527788631615,0.11453059,0.007881075548743727,0.27587545,0.39040604,0.14953612844996034,0.13814933023226333,0.1479976488429036,0.14953612844996034
24,24,13,,train,0.15487951807228914,0.001165115856565535,0.11576889999999998,0.012476705956907138,0.27359545,0.38936436,0.15342702826859012,0.1300964759416788,0.14044114176383313,0.15342702826859012
26,26,14,,train,0.14957831325301205,0.002411974361166358,0.11681488,0.009901270372117837,0.27299008,0.389805,0.15141207169559692,0.12462722125149588,0.14602258907215765,0.15141207169559692
28,28,15,,train,0.15006024096385542,0.0023773161228746176,0.11661857,0.009950368800244812,0.2743239,0.39094248,0.1517744133510644,0.12730796386292972,0.14995296610572956,0.1517744133510644
30,30,16,,train,0.15150602409638556,0.0037434424739331007,0.11811736,0.007912703548182652,0.27018008,0.38829747,0.14945505899332964,0.10749768979069704,0.14750097245313792,0.14945505899332964
32,32,17,,train,0.156144578313253,0.0020828766282647852,0.11895205,0.014923285591062884,0.27114788,0.39009988,0.15570101289128846,0.12896674049452062,0.1502520859023522,0.15570101289128846
34,34,18,,train,0.16349397590361445,0.0020674285478889947,0.11883020400000001,0.021893124839336392,0.27081752,0.38964772,0.1611452412570045,0.11953834140221413,0.15598994351255788,0.1611452412570045
36,36,19,,train,0.15969879518072289,0.004182404372841121,0.12001036,0.020049339526761915,0.2688895,0.38889983,0.16017773672591126,0.11795589203464192,0.15284345290844947,0.16017773672591126
38,38,20,,train,0.16542168674698796,0.005332874599844217,0.120312735,0.0265793952101268,0.26722357,0.3875363,0.16548992196817364,0.10167032297893007,0.12938556146006155,0.16548992196817364
40,40,21,,train,0.16879518072289154,0.00651658372953534,0.120932594,0.03269818886812933,0.26645443,0.38738704,0.1715329016353873,0.12432249387850687,0.16383751600956822,0.1715329016353873
42,42,22,,train,0.17506024096385542,0.007644514087587595,0.12292310599999999,0.0340690044387876,0.2650347,0.3879578,0.17116251655821835,0.12004778766319735,0.16265087372452788,0.17116251655821835
44,44,23,,train,0.16885542168674697,0.007225255481898785,0.12137548,0.028888566160583794,0.26580929999999997,0.3871848,0.16728272753652473,0.12032149632084398,0.14299776937318318,0.16728272753652473
46,46,24,,train,0.1666265060240964,0.010279299691319466,0.12312175,0.028962983584896563,0.26381679999999996,0.38693854,0.16806327134820154,0.11785931410339667,0.13899088603463355,0.16806327134820154
48,48,25,,train,0.16873493975903614,0.010741662234067915,0.12243724,0.03109718612101877,0.26385602,0.38629323,0.16973318012215524,0.1062444688662654,0.16350037949867882,0.16973318012215524
