,epoch,iteration,mode,accuracy,earliness,earliness_reward,kappa,loss,loss_classification,mean_accuracy,mean_f1,mean_precision,mean_recall
0,1,,train,0.14409638554216866,1.0,0.3646311,-0.0008750816211683774,10.831579,11.196209,0.14216671820389162,0.11990980888154927,0.15470835714267048,0.14216671820389162
1,1,,test,0.04876487904774095,1.0,0.3515369,0.0,10.579588,10.931125,0.1428571428571425,0.013284982042596904,0.00696641129253442,0.1428571428571425
2,2,,train,0.14409638554216866,1.0,0.36400568,0.0009106791201181338,10.386264,10.750268,0.14361944377648345,0.12459925953808483,0.1382975442400592,0.14361944377648345
3,2,,test,0.11852041469345961,1.0,0.36813992,0.0,10.289661,10.657803,0.1428571428571427,0.030274794435426473,0.01693148781335137,0.1428571428571427
4,3,,train,0.1616867469879518,1.0,0.36558264,0.02078399177478492,10.337999,10.703582,0.16082588645449777,0.13651119395827424,0.16107937453692905,0.16082588645449777
5,3,,test,0.6022014591066172,0.9999593098958333,0.3947445,0.3223558352936606,9.786758,10.181503,0.23454257916194762,0.18751331930263634,0.1620191729255145,0.23454257916194762
6,4,,train,0.23301204819277108,0.9995434880256653,0.40666902,0.10503884532805534,9.861834,10.268502,0.23213901716592103,0.1709312903737792,0.20366683787609213,0.23213901716592103
7,4,,test,0.14757455522846538,0.9989246292551399,0.4787348,0.0809016227379373,8.699629,9.178364,0.2498961527038525,0.12112758236812911,0.18158354921910755,0.2498961527038525
8,5,,train,0.2747590361445783,0.9991579651832581,0.44137305,0.15403862579086725,9.407179,9.848552,0.2753982314161239,0.24552206552995584,0.2716545216334608,0.2753982314161239
9,5,,test,0.6361192883655447,0.9998896224353303,0.58438414,0.4207917335080075,7.7135324,8.297916,0.33601148341689796,0.2612221921746343,0.28894783782129635,0.33601148341689796
10,6,,train,0.3293975903614458,0.9998043179512024,0.49328142,0.21751597679384005,8.791736,9.285017,0.3297934933051746,0.30502248172542107,0.32450135948309544,0.3297934933051746
11,6,,test,0.40918981185204145,1.0,0.51635665,0.24107901147116284,8.7995205,9.315877,0.3250847123164225,0.20089982779816246,0.27689275079283887,0.3250847123164225
12,7,,train,0.35807228915662653,0.999938428401947,0.5279971,0.2506876023219443,8.32738,8.855377,0.3561271775025004,0.32343298202385284,0.337106070121608,0.3561271775025004
13,7,,test,0.45104313323947265,1.0,0.53813857,0.2723155652008913,8.711494,9.249633,0.3366172691282538,0.21880616173262815,0.2491250842214406,0.3366172691282538
14,8,,train,0.371566265060241,1.0,0.5465221,0.26666201944415013,8.138845,8.685368,0.3718098361571026,0.33667819381473496,0.34909621323146983,0.3718098361571026
15,8,,test,0.6603097401766287,1.0,0.60861266,0.4599934446178807,7.1848197,7.793432,0.3845543331803349,0.3115306116287274,0.3627699581708999,0.3845543331803349
16,9,,train,0.4346385542168675,1.0,0.5956578,0.34034159957476257,7.5628624,8.15852,0.434332589104321,0.40780031528713784,0.41904776337050575,0.434332589104321
17,9,,test,0.7166261359273006,1.0,0.67834353,0.558383541153435,6.6612625,7.3396063,0.4740866634601364,0.4559479586580676,0.46013219364872143,0.4740866634601364
18,10,,train,0.48843373493975906,1.0,0.6523701,0.40286879946439863,7.2416553,7.894025,0.48685692382395823,0.4768040954131357,0.4779604208527005,0.48685692382395823
19,10,,test,0.755535645718674,1.0,0.7748127,0.6006591727569758,6.0422115,6.817024,0.474079473487424,0.4485379746905796,0.454349838240184,0.474079473487424
20,11,,train,0.5151204819277109,1.0,0.7000909,0.4344105922477127,6.784794,7.4848847,0.5145438207285346,0.5056537798977073,0.5047544690562048,0.5145438207285346
21,11,,test,0.24830410853705362,1.0,0.6982211,0.1992835742280978,6.7210574,7.4192786,0.47516914729716087,0.3484572969295217,0.35338220988665314,0.47516914729716087
22,12,,train,0.5286144578313253,1.0,0.71067727,0.45012422231226873,6.7096977,7.420376,0.5293657265612463,0.5200025760071582,0.5220386457867694,0.5293657265612463
23,12,,test,0.6504543709202611,1.0,0.71553826,0.5094238507853027,6.444355,7.1598935,0.539995710810612,0.5156349091839618,0.5203108561813605,0.539995710810612
24,13,,train,0.5660240963855422,1.0,0.74779457,0.4936867882754229,6.381024,7.128819,0.5672152665274944,0.5611809833934375,0.5607465921647078,0.5672152665274944
25,13,,test,0.5947779342122104,1.0,0.7337097,0.4620369608377205,6.553356,7.2870665,0.5587758878410218,0.5128210805523332,0.5476586732499167,0.5587758878410218
26,14,,train,0.6027710843373494,1.0,0.7932357,0.5362629090423903,6.086738,6.8799744,0.5981918765551095,0.5956007267290664,0.5955199018977926,0.5981918765551095
27,14,,test,0.7221297836938436,1.0,0.7889588,0.5929791664981948,6.067796,6.8567553,0.5841630608704985,0.5625535598497314,0.556441195700421,0.5841630608704985
28,15,,train,0.6254819277108433,1.0,0.81496376,0.562992158209659,5.9535737,6.7685375,0.6231964522249184,0.61985348363041,0.6233832106586089,0.6231964522249184
29,15,,test,0.6816843722001792,1.0,0.81840116,0.5479915210715071,5.5748253,6.3932266,0.5946907830220028,0.5494677856271063,0.5745122455911824,0.5946907830220028
30,16,,train,0.6349397590361445,1.0,0.8289656,0.5741127151367739,5.8008513,6.6298165,0.6369511911523319,0.6343530530554188,0.6328766449269361,0.6369511911523319
31,16,,test,0.5956738768718802,1.0,0.8057951,0.4737956097234936,5.977672,6.7834673,0.612286651038614,0.5570164813604283,0.5988929881527703,0.612286651038614
32,17,,train,0.6556024096385542,1.0,0.86327505,0.5981667479403919,5.6122537,6.4755287,0.6542839930086392,0.6539503689525629,0.6568967374344579,0.6542839930086392
33,17,,test,0.6711890439011903,1.0,0.8493396,0.5481893977110038,5.562386,6.411726,0.626622630655584,0.582504982494905,0.5973123457748792,0.626622630655584
34,18,,train,0.6850602409638554,1.0,0.893606,0.6325490616195537,5.333048,6.226654,0.6843128089031473,0.6843163942757898,0.6853543489955424,0.6843128089031473
